Lat,Lng,Depth,Mag,Sig,Place,Time,Month,Day,Year
32.464,-115.1891667,5.971,5.8,1270,"12km N of Delta, B.C., MX",2009-12-30 18:48:57.330,12,30,2009
6.52,126.341,34.0,5.5,468,"Mindanao, Philippines",2009-12-30 11:17:49.800,12,30,2009
-25.807,-70.533,50.9,5.0,385,"Antofagasta, Chile",2009-12-30 08:12:58.390,12,30,2009
10.6,125.299,152.2,5.3,432,"Leyte, Philippines",2009-12-30 07:48:57.520,12,30,2009
-8.306,126.892,35.0,5.1,400,East Timor region,2009-12-30 05:40:01.440,12,30,2009
52.062,-171.421,51.7,5.1,400,"Fox Islands, Aleutian Islands, Alaska",2009-12-29 23:12:18.690,12,29,2009
10.046,126.387,69.2,5.0,385,Philippine Islands region,2009-12-29 22:14:34.400,12,29,2009
-36.675,-72.917,28.5,5.1,408,"Bio-Bio, Chile",2009-12-29 11:47:34.960,12,29,2009
32.567,15.064,10.0,5.0,385,near the coast of Libya,2009-12-29 11:08:54.720,12,29,2009
-12.462,166.664,47.7,5.1,400,Santa Cruz Islands,2009-12-29 10:07:56.880,12,29,2009
24.357,94.807,124.8,5.6,485,Myanmar-India border region,2009-12-29 09:01:55.310,12,29,2009
-5.173,152.268,61.6,5.3,432,"New Britain region, Papua New Guinea",2009-12-29 05:12:29.640,12,29,2009
-10.131,124.637,10.0,5.2,416,"Timor region, Indonesia",2009-12-28 15:00:23.520,12,28,2009
3.927,126.756,10.0,5.2,416,"Kepulauan Talaud, Indonesia",2009-12-28 10:18:05.160,12,28,2009
47.735,153.094,122.2,5.1,400,Kuril Islands,2009-12-28 08:05:43.730,12,28,2009
-22.501,-70.131,33.9,5.2,416,"Antofagasta, Chile",2009-12-28 00:57:16.410,12,28,2009
43.265,144.526,71.7,5.0,385,"Hokkaido, Japan region",2009-12-28 00:12:48.430,12,28,2009
-3.102,139.653,7.4,5.7,501,"Papua, Indonesia",2009-12-27 13:19:07.170,12,27,2009
56.3334,-152.6155,3.8,5.3,432,"Kodiak Island region, Alaska",2009-12-27 03:12:42.630,12,27,2009
-17.299,-176.941,17.0,5.6,482,Fiji region,2009-12-26 21:23:27.300,12,26,2009
-5.53,131.205,85.0,6.1,572,Banda Sea,2009-12-26 08:57:27.720,12,26,2009
6.421,126.4,64.9,5.2,416,"Mindanao, Philippines",2009-12-26 06:59:16.390,12,26,2009
6.482,126.369,59.8,5.6,482,"Mindanao, Philippines",2009-12-26 05:09:28.060,12,26,2009
53.889,161.432,36.4,5.0,385,"off the east coast of the Kamchatka Peninsula, Russia",2009-12-26 04:14:07.430,12,26,2009
14.001,92.862,42.6,5.0,385,"Andaman Islands, India region",2009-12-26 00:23:38.570,12,26,2009
-15.963,-173.059,47.0,5.6,482,Tonga,2009-12-25 22:04:26.980,12,25,2009
-55.438,-26.739,10.0,5.2,416,South Sandwich Islands region,2009-12-24 22:04:51.650,12,24,2009
-15.766,-73.978,59.1,5.6,482,southern Peru,2009-12-24 14:01:58.930,12,24,2009
-5.46,145.633,124.6,5.4,451,"eastern New Guinea region, Papua New Guinea",2009-12-24 05:05:34.260,12,24,2009
42.245,134.719,392.0,6.3,611,"Primor'ye, Russia",2009-12-24 00:23:31.700,12,24,2009
42.126,135.008,395.0,5.7,500,Sea of Japan,2009-12-24 00:23:31.000,12,24,2009
-7.014,129.909,81.1,5.2,416,"Kepulauan Babar, Indonesia",2009-12-23 21:37:09.680,12,23,2009
-60.424,-26.912,39.1,5.1,400,South Sandwich Islands region,2009-12-23 18:40:15.800,12,23,2009
0.457,121.646,123.2,5.0,385,"Minahasa, Sulawesi, Indonesia",2009-12-23 18:13:18.810,12,23,2009
-7.464,130.054,36.3,5.0,385,"Kepulauan Tanimbar, Indonesia",2009-12-23 16:28:34.200,12,23,2009
-6.813,125.676,527.7,5.7,500,Banda Sea,2009-12-23 05:42:01.810,12,23,2009
-31.174,-177.88,30.0,5.1,400,Kermadec Islands region,2009-12-23 04:55:25.980,12,23,2009
-1.434,99.393,19.0,6.0,555,"Kepulauan Mentawai region, Indonesia",2009-12-23 01:11:58.200,12,23,2009
-15.123,-172.982,10.0,5.0,385,Samoa Islands region,2009-12-23 00:38:38.900,12,23,2009
-28.607,-71.035,45.0,5.0,385,"Atacama, Chile",2009-12-22 23:01:11.400,12,22,2009
1.683,127.291,139.5,5.2,416,"Halmahera, Indonesia",2009-12-22 12:21:03.710,12,22,2009
-47.55,100.343,10.0,5.4,449,southeast Indian Ridge,2009-12-22 07:57:24.820,12,22,2009
35.72,31.511,63.5,5.3,447,Cyprus region,2009-12-22 06:06:23.430,12,22,2009
10.224,40.846,10.0,5.0,385,Ethiopia,2009-12-22 03:39:07.720,12,22,2009
17.284,121.485,10.0,5.3,437,"Luzon, Philippines",2009-12-21 19:59:22.130,12,21,2009
0.461,125.409,75.2,5.1,400,Molucca Sea,2009-12-21 12:26:44.070,12,21,2009
37.526,96.644,10.0,5.0,385,"northern Qinghai, China",2009-12-21 05:15:08.870,12,21,2009
51.571,-179.845,35.0,5.0,385,"Andreanof Islands, Aleutian Islands, Alaska",2009-12-20 23:52:44.660,12,20,2009
-0.176,124.477,56.6,5.0,385,Molucca Sea,2009-12-20 13:25:48.050,12,20,2009
-10.108,33.818,6.0,6.0,555,Malawi,2009-12-19 23:19:15.550,12,19,2009
-17.131,-174.227,10.0,5.0,385,Tonga,2009-12-19 23:03:37.140,12,19,2009
-17.766,-173.195,10.0,5.3,432,Tonga,2009-12-19 16:52:49.940,12,19,2009
2.675,96.062,43.9,5.5,465,"Simeulue, Indonesia",2009-12-19 13:43:57.260,12,19,2009
23.796,121.605,43.0,6.4,907,Taiwan,2009-12-19 13:02:15.570,12,19,2009
14.005,146.437,60.9,5.1,400,"Rota region, Northern Mariana Islands",2009-12-19 11:14:28.790,12,19,2009
-21.623,-174.518,35.0,5.1,400,Tonga,2009-12-19 01:59:14.980,12,19,2009
3.047,-76.234,165.4,5.1,407,Colombia,2009-12-18 14:30:03.390,12,18,2009
33.568,141.083,26.4,5.2,419,"off the east coast of Honshu, Japan",2009-12-18 11:48:32.720,12,18,2009
-19.939,-173.66,10.0,5.0,385,Tonga,2009-12-18 09:45:41.860,12,18,2009
-17.73,65.867,10.0,5.8,518,Mauritius - Reunion region,2009-12-18 07:32:59.660,12,18,2009
59.0436,-153.4015,80.7,5.1,411,Southern Alaska,2009-12-18 03:33:14.196,12,18,2009
34.921,139.261,6.8,5.0,386,"near the south coast of Honshu, Japan",2009-12-17 23:45:36.410,12,17,2009
36.37,139.481,91.7,5.1,465,"eastern Honshu, Japan",2009-12-17 20:41:30.700,12,17,2009
51.398,179.963,35.0,5.8,518,"Rat Islands, Aleutian Islands, Alaska",2009-12-17 20:01:21.610,12,17,2009
42.447,-30.565,4.0,5.5,465,Azores Islands region,2009-12-17 14:55:36.290,12,17,2009
3.103,125.618,145.9,5.0,385,"Kepulauan Sangihe, Indonesia",2009-12-17 04:41:54.800,12,17,2009
36.463,-9.9,19.8,5.6,982,west of Gibraltar,2009-12-17 01:37:48.060,12,17,2009
-15.139,-173.471,10.0,5.0,385,Tonga,2009-12-16 20:28:01.980,12,16,2009
-15.922,-173.551,10.0,5.0,385,Tonga,2009-12-16 18:54:42.990,12,16,2009
-6.985,155.373,69.6,5.0,385,"Bougainville region, Papua New Guinea",2009-12-16 17:42:04.890,12,16,2009
-31.233,-177.801,32.4,5.0,385,Kermadec Islands region,2009-12-16 13:33:04.480,12,16,2009
-31.59,-177.84,10.0,5.5,465,Kermadec Islands region,2009-12-16 12:36:38.540,12,16,2009
4.037,127.991,89.2,5.1,400,"Kepulauan Talaud, Indonesia",2009-12-16 08:49:10.960,12,16,2009
-55.488,-26.898,10.9,5.5,465,South Sandwich Islands region,2009-12-16 03:40:23.700,12,16,2009
-29.536,-177.738,57.2,5.0,385,"Kermadec Islands, New Zealand",2009-12-15 15:10:47.370,12,15,2009
-44.475,-81.943,10.0,5.4,449,West Chile Rise,2009-12-15 11:34:43.210,12,15,2009
-55.466,-26.865,10.3,5.0,385,South Sandwich Islands region,2009-12-14 18:45:17.260,12,14,2009
-7.404,128.405,132.5,5.0,385,"Kepulauan Barat Daya, Indonesia",2009-12-14 15:38:13.600,12,14,2009
46.19,153.072,40.8,5.1,400,Kuril Islands,2009-12-14 13:51:22.030,12,14,2009
-5.958,154.444,39.0,6.0,554,"Bougainville region, Papua New Guinea",2009-12-14 08:54:01.820,12,14,2009
-10.028,123.661,45.8,5.5,465,"Timor region, Indonesia",2009-12-14 03:05:24.380,12,14,2009
26.291,-110.559,10.0,5.1,401,Gulf of California,2009-12-13 16:59:12.630,12,13,2009
41.724,94.318,10.0,5.4,449,"Xinjiang-Gansu border region, China",2009-12-13 16:04:00.620,12,13,2009
48.827,156.19,10.0,5.6,482,east of the Kuril Islands,2009-12-12 18:38:45.440,12,12,2009
19.151,-104.938,35.0,5.2,416,"offshore Jalisco, Mexico",2009-12-12 17:05:20.250,12,12,2009
-16.168,-173.46,10.0,5.1,400,Tonga,2009-12-12 09:08:05.540,12,12,2009
-17.553,-13.254,10.0,5.4,449,southern Mid-Atlantic Ridge,2009-12-12 03:34:40.340,12,12,2009
-9.942,33.911,10.0,5.5,465,Malawi,2009-12-12 02:27:03.780,12,12,2009
52.992,157.972,128.1,5.1,400,"Kamchatka Peninsula, Russia",2009-12-12 02:16:52.290,12,12,2009
11.881,-86.826,68.6,5.0,385,near the coast of Nicaragua,2009-12-11 14:01:58.780,12,11,2009
-21.056,-174.448,10.0,5.6,482,Tonga,2009-12-11 12:33:39.040,12,11,2009
-12.422,166.691,35.0,5.0,385,Santa Cruz Islands,2009-12-11 03:36:52.870,12,11,2009
53.792,160.471,48.7,5.0,385,"near the east coast of the Kamchatka Peninsula, Russia",2009-12-11 01:16:52.360,12,11,2009
-17.398,-173.008,10.0,5.1,400,Tonga,2009-12-10 23:03:14.060,12,10,2009
6.691,126.274,65.0,5.2,420,"Mindanao, Philippines",2009-12-10 15:06:44.420,12,10,2009
-7.316,129.226,116.6,5.1,400,"Kepulauan Babar, Indonesia",2009-12-10 03:13:24.760,12,10,2009
53.417,152.756,656.2,6.3,611,Sea of Okhotsk,2009-12-10 02:30:52.690,12,10,2009
43.049,146.735,45.7,5.2,416,Kuril Islands,2009-12-09 23:25:37.970,12,9,2009
2.759,95.91,21.0,6.0,554,"Simeulue, Indonesia",2009-12-09 21:29:02.890,12,9,2009
-0.642,-21.072,10.0,6.4,630,central Mid-Atlantic Ridge,2009-12-09 16:00:43.330,12,9,2009
-22.15,170.963,45.0,6.4,632,southeast of the Loyalty Islands,2009-12-09 09:46:03.300,12,9,2009
-54.709,-135.814,10.0,5.6,482,Pacific-Antarctic Ridge,2009-12-09 07:48:13.960,12,9,2009
51.384,-176.752,29.6,5.1,400,"Andreanof Islands, Aleutian Islands, Alaska",2009-12-09 02:25:42.590,12,9,2009
19.206,-104.916,39.8,5.1,403,"offshore Jalisco, Mexico",2009-12-08 19:34:02.000,12,8,2009
19.261,-104.901,27.9,5.0,385,"offshore Jalisco, Mexico",2009-12-08 18:24:07.640,12,8,2009
1.19,126.379,68.7,5.0,385,Molucca Sea,2009-12-08 15:43:35.100,12,8,2009
-9.948,33.878,8.0,5.9,540,Malawi,2009-12-08 03:08:57.240,12,8,2009
-4.803,103.105,73.3,5.0,385,"southern Sumatra, Indonesia",2009-12-08 00:11:36.170,12,8,2009
-9.998,33.844,10.0,5.0,385,Malawi,2009-12-07 18:16:32.440,12,7,2009
-48.369,-87.264,10.0,5.0,385,southern Pacific Ocean,2009-12-07 14:09:06.260,12,7,2009
-10.113,33.837,10.0,5.0,385,Malawi,2009-12-07 09:31:44.750,12,7,2009
-10.132,33.908,10.0,5.0,385,Malawi,2009-12-07 03:35:40.400,12,7,2009
14.012,-92.285,57.9,5.1,400,offshore Guatemala,2009-12-07 02:02:37.400,12,7,2009
-10.105,33.947,10.0,5.1,400,Malawi,2009-12-06 19:36:41.640,12,6,2009
-10.131,33.915,10.0,5.1,400,Malawi,2009-12-06 18:29:14.980,12,6,2009
-10.024,33.866,10.0,5.2,416,Malawi,2009-12-06 18:00:01.050,12,6,2009
-10.171,33.968,10.0,5.3,432,Malawi,2009-12-06 17:58:15.460,12,6,2009
-10.126,33.87,9.0,5.8,519,Malawi,2009-12-06 17:36:36.010,12,6,2009
-7.89,118.944,10.0,5.0,385,Flores Sea,2009-12-06 06:44:20.880,12,6,2009
35.778,77.352,72.2,5.2,416,Kashmir-Xinjiang border region,2009-12-06 04:33:16.880,12,6,2009
-36.32,-96.769,10.0,5.0,385,West Chile Rise,2009-12-06 02:57:24.530,12,6,2009
0.484,126.17,43.7,5.1,400,Molucca Sea,2009-12-05 16:43:09.120,12,5,2009
-36.75,-99.75,10.0,5.1,400,southeast of Easter Island,2009-12-05 14:06:24.000,12,5,2009
-62.858,-158.217,10.0,5.2,416,Pacific-Antarctic Ridge,2009-12-05 13:50:54.650,12,5,2009
-51.491,139.207,10.0,5.1,400,western Indian-Antarctic Ridge,2009-12-05 06:03:36.340,12,5,2009
55.224,161.835,54.1,5.0,385,"near the east coast of the Kamchatka Peninsula, Russia",2009-12-05 00:58:58.760,12,5,2009
-56.08,-27.664,85.8,5.0,385,South Sandwich Islands region,2009-12-05 00:20:08.030,12,5,2009
-29.444,77.658,10.0,5.0,385,Mid-Indian Ridge,2009-12-04 00:41:50.710,12,4,2009
-2.71,68.035,10.0,5.4,449,Carlsberg Ridge,2009-12-03 23:06:46.730,12,3,2009
-33.562,77.67,10.0,5.1,400,Mid-Indian Ridge,2009-12-03 19:16:31.690,12,3,2009
-18.292,-174.709,86.1,5.0,385,Tonga,2009-12-03 16:03:11.140,12,3,2009
-55.081,-128.532,10.0,5.1,400,Pacific-Antarctic Ridge,2009-12-03 08:14:34.450,12,3,2009
-32.228,78.959,10.0,5.3,432,Mid-Indian Ridge,2009-12-03 06:28:48.720,12,3,2009
-56.476,-122.321,10.0,6.0,554,southern East Pacific Rise,2009-12-03 06:12:32.490,12,3,2009
53.693,-165.518,63.0,5.3,433,"Fox Islands, Aleutian Islands, Alaska",2009-12-03 01:56:36.250,12,3,2009
-56.156,-26.772,59.7,5.4,449,South Sandwich Islands region,2009-12-02 23:14:00.830,12,2,2009
12.189,125.552,14.0,5.5,465,"Samar, Philippines",2009-12-02 20:27:12.190,12,2,2009
13.505,-90.627,35.0,5.1,411,offshore Guatemala,2009-12-02 11:46:17.770,12,2,2009
-20.4,-173.663,10.0,5.0,385,Tonga,2009-12-02 08:19:59.000,12,2,2009
37.223,141.362,59.7,5.1,401,"near the east coast of Honshu, Japan",2009-12-02 06:14:29.590,12,2,2009
-20.518,64.524,10.0,5.2,416,"Rodrigues region, Mauritius",2009-12-02 04:20:36.590,12,2,2009
2.866,126.719,11.3,5.2,416,Molucca Sea,2009-12-01 20:32:02.080,12,1,2009
-17.077,167.643,40.3,5.6,483,Vanuatu,2009-12-01 19:42:58.970,12,1,2009
5.089,127.428,91.1,5.2,416,Philippine Islands region,2009-12-01 16:11:09.070,12,1,2009
13.622,92.793,33.6,5.3,432,"Andaman Islands, India region",2009-12-01 11:40:45.670,12,1,2009
-5.086,152.057,80.7,5.2,416,"New Britain region, Papua New Guinea",2009-12-01 05:11:22.130,12,1,2009
-16.321,167.856,195.0,5.1,400,Vanuatu,2009-12-01 01:01:56.120,12,1,2009
-20.329,68.071,10.0,5.4,449,Mid-Indian Ridge,2009-12-01 00:53:03.120,12,1,2009
-30.194,-177.674,24.4,5.0,385,"Kermadec Islands, New Zealand",2009-11-30 19:12:10.080,11,30,2009
-2.419,-11.756,10.0,5.1,400,north of Ascension Island,2009-11-30 02:54:48.200,11,30,2009
-21.939,-176.499,180.3,5.1,400,Fiji region,2009-11-30 01:13:18.360,11,30,2009
5.345,126.254,35.0,5.7,500,"Mindanao, Philippines",2009-11-29 20:09:09.180,11,29,2009
-21.968,-65.717,275.8,5.4,449,"Potosi, Bolivia",2009-11-29 17:05:30.970,11,29,2009
0.415,126.083,68.6,5.5,465,Molucca Sea,2009-11-29 12:29:37.840,11,29,2009
-15.388,-175.79,10.0,5.3,432,Tonga,2009-11-29 10:33:27.950,11,29,2009
-31.798,-178.911,89.7,5.1,400,Kermadec Islands region,2009-11-29 09:58:30.230,11,29,2009
5.402,126.382,35.0,5.4,449,"Mindanao, Philippines",2009-11-29 02:28:03.120,11,29,2009
3.223,126.962,53.8,5.0,385,"Kepulauan Talaud, Indonesia",2009-11-29 00:31:36.270,11,29,2009
-4.176,141.12,75.5,5.1,400,"New Guinea, Papua New Guinea",2009-11-28 22:04:59.550,11,28,2009
50.705,-172.974,10.0,5.1,400,"Andreanof Islands, Aleutian Islands, Alaska",2009-11-28 18:58:20.410,11,28,2009
5.326,126.288,38.8,6.1,572,"Mindanao, Philippines",2009-11-28 18:10:20.630,11,28,2009
52.956,159.627,61.7,5.1,400,"off the east coast of the Kamchatka Peninsula, Russia",2009-11-28 17:49:16.750,11,28,2009
-49.772,126.574,10.0,5.2,416,western Indian-Antarctic Ridge,2009-11-28 17:40:26.500,11,28,2009
-29.216,-177.018,28.0,6.0,554,"Kermadec Islands, New Zealand",2009-11-28 09:21:17.980,11,28,2009
15.05,-59.66,41.0,5.0,385,"east of Martinique, Windward Islands",2009-11-28 08:18:35.640,11,28,2009
-10.403,118.885,15.0,6.0,554,"south of Sumbawa, Indonesia",2009-11-28 06:04:22.200,11,28,2009
-15.638,-74.931,18.5,5.2,417,near the coast of southern Peru,2009-11-28 05:06:06.130,11,28,2009
-15.683,-74.991,46.4,5.1,400,near the coast of southern Peru,2009-11-28 04:35:38.370,11,28,2009
-10.435,118.848,35.0,5.1,400,"south of Sumbawa, Indonesia",2009-11-28 00:04:36.980,11,28,2009
-20.985,-173.809,10.0,5.2,416,Tonga,2009-11-27 23:48:18.190,11,27,2009
52.127,157.494,155.0,5.0,385,"Kamchatka Peninsula, Russia",2009-11-27 21:06:04.010,11,27,2009
10.434,-69.715,7.0,5.4,462,"Lara, Venezuela",2009-11-27 08:15:53.360,11,27,2009
43.907,147.235,64.4,5.0,385,Kuril Islands,2009-11-27 04:36:47.490,11,27,2009
13.514,-89.907,56.8,5.9,648,offshore El Salvador,2009-11-26 19:08:11.360,11,26,2009
-55.651,-128.358,10.0,5.2,416,Pacific-Antarctic Ridge,2009-11-26 18:58:00.480,11,26,2009
-34.475,-178.577,10.0,5.0,385,south of the Kermadec Islands,2009-11-26 18:33:15.610,11,26,2009
-55.372,-128.65,10.0,5.1,400,Pacific-Antarctic Ridge,2009-11-26 17:40:02.360,11,26,2009
-30.522,-177.839,23.3,5.0,385,"Kermadec Islands, New Zealand",2009-11-26 15:42:17.730,11,26,2009
4.09,126.373,57.4,5.0,385,"Kepulauan Talaud, Indonesia",2009-11-26 15:12:47.470,11,26,2009
36.091,21.4,28.5,5.0,385,southern Greece,2009-11-26 15:09:16.720,11,26,2009
